,patterns,text
0,creative ideas,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
1,online campaigns,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
2,digital marketing,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
3,good relationship,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
4,Strong understanding,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
5,digital marketing,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
6,best practices,"Proactively work with SEO and Social Media Marketing<br>Come up with creative ideas, designs<br>Branding, Advertising campaigns and Marketing<br>Launch online campaigns<br>Write and optimize content for website<br><br><b>Required Candidate profile</b>Handling day to day digital marketing initiatives<br>Build good relationship with clients<br>Strong understanding of current digital marketing concepts, strategy and best practices"
7,digital marketing,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
8,individual contributor,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
9,online techniques,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
